ID;Project;Pull Number;Pull Request Link;Pull Request Title;Is Merged?;Has a Challenge/BadPractice?;Is CPS-Specific?;Bad Practice;Challenge/Barrier;Mitigation;Restructuring
57;Ardupilot/ardupilot;11229;https://github.com/ArduPilot/ardupilot/pull/11229;Tools Environment install updates;TRUE;NO;;;;;
58;Ardupilot/ardupilot;11529;https://github.com/ArduPilot/ardupilot/pull/11529;SITL support SITL_PANIC_EXIT;TRUE;YES;NO;Build Outcome_Do not fail a build as soon as a failure/error is encountered;;;Build Process Organization_Update checks in the build process
59;Ardupilot/ardupilot;10741;https://github.com/ArduPilot/ardupilot/pull/10741;Move Vagrant to using new JSBSim;TRUE;NO;;;;;
60;Ardupilot/ardupilot;11559;https://github.com/ArduPilot/ardupilot/pull/11559;Azure fix builds;TRUE;YES;NO;Culture_Changes are pulled before fixing a previous build failure;;;
61;Ardupilot/ardupilot;11835;https://github.com/ArduPilot/ardupilot/pull/11835;SITL Add Lidar Sensor RC Support for AirSim;TRUE;YES;YES;;Simulators_Limited Functionality;Resources_Add better simulators;
62;Ardupilot/ardupilot;13060;https://github.com/ArduPilot/ardupilot/pull/13060;SITL fixed accuracy of lat lon in AirSim;TRUE;YES;YES;;Simulators_Functional Correctness;Resources_Change simulator settings;
63;Ardupilot/ardupilot;13265;https://github.com/ArduPilot/ardupilot/pull/13265;Travis Combine jobs flake8 has been moved to semaphore;TRUE;YES;NO;Build Process Definition_Monolithic builds (i.e., builds not decomposed into specific, cohesive jobs, when this is appropriate) are used in the pipeline;;;Maintainability_Simplify build matrix
64;Ardupilot/ardupilot;13814;https://github.com/ArduPilot/ardupilot/pull/13814;BeagleBone Faulty PWM output after few flight controller restarts due to wrong IEP Timer configuration;TRUE;NO;;;;;
65;Ardupilot/ardupilot;15255;https://github.com/ArduPilot/ardupilot/pull/15255;travis shift embedded tests to avoid travis time overrun;TRUE;YES;NO;"Build Duration_Build time for the ""commit stage"" overcomes the 10-minutes rule";;;Performance_Cleanup build matrix
66;Ardupilot/ardupilot;15463;https://github.com/ArduPilot/ardupilot/pull/15463;github add first github action;TRUE;YES;NO;Infrastructure Choices_Software_Wrong Choice of the CI/CD framework being used;;;Maintainability_Replace tools/methods for accomplishing a specific task
67;Ardupilot/ardupilot;15320;https://github.com/ArduPilot/ardupilot/pull/15320;Add SITL support for AP Periph using new CAN setup;TRUE;NO;;;;;
68;Ardupilot/ardupilot;1296;https://github.com/ArduPilot/ardupilot/pull/1296;SITL added missing parameters to sim_multicopter py call;FALSE;NO;;;;;
69;Ardupilot/ardupilot;1809;https://github.com/ArduPilot/ardupilot/pull/1809;SITL Numerous improvements to vagrant image and easier SITL for mac win;FALSE;NO;;;;;
70;Ardupilot/ardupilot;1882;https://github.com/ArduPilot/ardupilot/pull/1882;Enable SITL code to call an external ROS simulator for ArduPlane;FALSE;NO;;;;;
71;Ardupilot/ardupilot;2398;https://github.com/ArduPilot/ardupilot/pull/2398;Travis reduced number of threads used for a build;FALSE;YES;NO;Build Execution_Independent build jobs are not executed in parallel;;;Performance_Introduce Parallelization
72;Ardupilot/ardupilot;2640;https://github.com/ArduPilot/ardupilot/pull/2640;DataFlash_test make it works with PX4 FMUv2;FALSE;NO;;;;;
73;Ardupilot/ardupilot;3092;https://github.com/ArduPilot/ardupilot/pull/3092;build allow j on top level makefile;FALSE;NO;;;;;
74;Ardupilot/ardupilot;3228;https://github.com/ArduPilot/ardupilot/pull/3228;Overhaul travis configuration;FALSE;YES;NO;Infrastructure Choices_Software_A task is implemented using an unsuitable tool/plugin;;;Infrastructure_Introduce Containerization
75;Ardupilot/ardupilot;1247;https://github.com/ArduPilot/ardupilot/pull/1247;Added Scripts to set up SITL Env;FALSE;NO;;;;;
76;Ardupilot/ardupilot;3244;https://github.com/ArduPilot/ardupilot/pull/3244;Support BH HAT for ardupilot;FALSE;NO;;;;;
77;Ardupilot/ardupilot;3491;https://github.com/ArduPilot/ardupilot/pull/3491;Initial CMake build system for Linux;FALSE;NO;;;;;
78;Ardupilot/ardupilot;3526;https://github.com/ArduPilot/ardupilot/pull/3526;semaphore add another option for CI;FALSE;NO;;;;;
79;Ardupilot/ardupilot;3847;https://github.com/ArduPilot/ardupilot/pull/3847;Travis remove cache since it isn t used currently;FALSE;YES;NO;Security_Use sudo for accessing Docker;;;Security_Introduce/Remove sudo in commands
80;Ardupilot/ardupilot;4208;https://github.com/ArduPilot/ardupilot/pull/4208;CI increase ccache size;FALSE;YES;NO;Infrastructure Choices_Software_A task is implemented using an unsuitable tool/plugin;;;Performance_Change Caching configuration
81;Ardupilot/ardupilot;2660;https://github.com/ArduPilot/ardupilot/pull/2660;SITL The range finder and new mode in SITL;FALSE;YES;YES;;Simulators_Limited Functionality;Resources_Evolve simulator;
82;Ardupilot/ardupilot;5280;https://github.com/ArduPilot/ardupilot/pull/5280;in tree IRLock driver;FALSE;YES;YES;;Simulators_Interacting environment;;
83;Ardupilot/ardupilot;6821;https://github.com/ArduPilot/ardupilot/pull/6821;CI greatly reduce Make builds merge Travis jobs and move some to Semaphore;FALSE;YES;NO;Infrastructure Choices_Software_A task is implemented using an unsuitable tool/plugin;;;Performance_Change Caching configuration
84;Ardupilot/ardupilot;7368;https://github.com/ArduPilot/ardupilot/pull/7368;Copter 3 5 modify SITL default behavior;FALSE;YES;YES;;Simulators_Functional Correctness;Resources_Evolve simulator;
85;Ardupilot/ardupilot;10027;https://github.com/ArduPilot/ardupilot/pull/10027;CI add Azure pipelines;FALSE;YES;NO;;Flaky Behaviour_Netowork Issues;Flakiness_Retry;
85;Ardupilot/ardupilot;10027;https://github.com/ArduPilot/ardupilot/pull/10027;CI add Azure pipelines;FALSE;YES;NO;Build Output_Some tasks are executed without clearly reporting their results in the build output;;;
86;paparazzi/paparazzi;99;https://github.com/paparazzi/paparazzi/pull/99;Datalink;TRUE;NO;;;;;
87;paparazzi/paparazzi;206;https://github.com/paparazzi/paparazzi/pull/206;Fixes simulations for visualization in FlightGear 2 6;TRUE;NO;;;;;
88;paparazzi/paparazzi;490;https://github.com/paparazzi/paparazzi/pull/490;ARDrone2 RAW battery readout;TRUE;NO;;;;;
89;paparazzi/paparazzi;662;https://github.com/paparazzi/paparazzi/pull/662;Stm32 i2c watchdog;TRUE;NO;;;;;
90;paparazzi/paparazzi;485;https://github.com/paparazzi/paparazzi/pull/485;Sbus radio control driver;TRUE;YES;YES;;Simulators_Limited Functionality;Resources_Evolve simulator;
91;paparazzi/paparazzi;663;https://github.com/paparazzi/paparazzi/pull/663;stabilization attitude reference quaternion scale;TRUE;NO;;;;;
92;paparazzi/paparazzi;646;https://github.com/paparazzi/paparazzi/pull/646;Fix compatibility with automatically configuring newer ublox modules;TRUE;NO;;;;;
93;paparazzi/paparazzi;683;https://github.com/paparazzi/paparazzi/pull/683;build parallel build for firmwares;TRUE;YES;NO;Build Execution_Independent build jobs are not executed in parallel;;;Performance_Introduce Parallelization
94;paparazzi/paparazzi;744;https://github.com/paparazzi/paparazzi/pull/744;navstik Added a new board;TRUE;NO;;;;;
95;paparazzi/paparazzi;705;https://github.com/paparazzi/paparazzi/pull/705;mcu_periph Fix error sending;TRUE;NO;;;;;
96;paparazzi/paparazzi;776;https://github.com/paparazzi/paparazzi/pull/776;Updated the synchronisation tool;TRUE;YES;YES;;Simulators_Real-Time Properties;;
97;paparazzi/paparazzi;929;https://github.com/paparazzi/paparazzi/pull/929;messages add INFO_MSG and with printing to GCS console;TRUE;NO;;;;;
98;paparazzi/paparazzi;851;https://github.com/paparazzi/paparazzi/pull/851;radio_control spektrum for nps sim;TRUE;NO;;;;;
99;paparazzi/paparazzi;1002;https://github.com/paparazzi/paparazzi/pull/1002;build default to parallel make for aircrafts;TRUE;NO;;;;;
100;paparazzi/paparazzi;963;https://github.com/paparazzi/paparazzi/pull/963;simulator OCaml sim simulate sys_time;TRUE;YES;YES;;Simulators_Real-Time Properties;Resources_Change simulator settings;
101;paparazzi/paparazzi;1004;https://github.com/paparazzi/paparazzi/pull/1004;actuators ESC32 can support;TRUE;NO;;;;;
102;paparazzi/paparazzi;1082;https://github.com/paparazzi/paparazzi/pull/1082;Improvement of Ivy efficiency;TRUE;NO;;;;;
103;paparazzi/paparazzi;1109;https://github.com/paparazzi/paparazzi/pull/1109;implement persistent settings for linux arch;TRUE;NO;;;;;
104;paparazzi/paparazzi;1117;https://github.com/paparazzi/paparazzi/pull/1117;arch linux sys time thread;TRUE;NO;;;;;
105;paparazzi/paparazzi;1131;https://github.com/paparazzi/paparazzi/pull/1131;NPS fix some JSBSim FDM issues for fixedwing sim;TRUE;YES;YES;;Simulators_Installation and Setting;Resources_Change simulator settings;
106;paparazzi/paparazzi;1272;https://github.com/paparazzi/paparazzi/pull/1272;compile run paparazzi in a docker container;TRUE;NO;;;;;
107;paparazzi/paparazzi;1383;https://github.com/paparazzi/paparazzi/pull/1383;Fixed all configs for OpenUAS;TRUE;NO;;;;;
108;paparazzi/paparazzi;1390;https://github.com/paparazzi/paparazzi/pull/1390;Unified conf airframe and simulator files for Hooperfly;TRUE;NO;;;;;
109;paparazzi/paparazzi;1392;https://github.com/paparazzi/paparazzi/pull/1392;sd logger Version 2 0 release direct SPI logging UART download;TRUE;NO;;;;;
110;paparazzi/paparazzi;1471;https://github.com/paparazzi/paparazzi/pull/1471;build Modules can be used like subsystems in airframe files;TRUE;NO;;;;;
111;paparazzi/paparazzi;1569;https://github.com/paparazzi/paparazzi/pull/1569;Px4 imu;TRUE;YES;YES;;Throroughness_Phases_Automated HIL testing impossible dues to too many different real devices;;
112;paparazzi/paparazzi;1645;https://github.com/paparazzi/paparazzi/pull/1645;build add boards specific flags when needed;TRUE;YES;YES;;Barriers_Resources_Limited Sw/Hw Resources;;
113;paparazzi/paparazzi;1693;https://github.com/paparazzi/paparazzi/pull/1693;docker use ubuntu 16 04 and deal with user group ids 1000;TRUE;NO;;;;;
114;paparazzi/paparazzi;1664;https://github.com/paparazzi/paparazzi/pull/1664;Updated safety behaviors;TRUE;NO;;;;;
115;paparazzi/paparazzi;1790;https://github.com/paparazzi/paparazzi/pull/1790;Coverity fixes;TRUE;NO;;;;;
116;paparazzi/paparazzi;1831;https://github.com/paparazzi/paparazzi/pull/1831;Nps update proof of concept of HITL SITL integration;TRUE;YES;YES;;Simulators_Interacting environment;;
117;paparazzi/paparazzi;1872;https://github.com/paparazzi/paparazzi/pull/1872;emergency kill Kill is a setting To be less xml dependent it shoul;TRUE;NO;;;;;
118;paparazzi/paparazzi;1990;https://github.com/paparazzi/paparazzi/pull/1990;modules simulator modules SIM and NPS;TRUE;NO;;;;;
119;paparazzi/paparazzi;2033;https://github.com/paparazzi/paparazzi/pull/2033;simulation of bebop1;TRUE;NO;;;;;
120;paparazzi/paparazzi;2069;https://github.com/paparazzi/paparazzi/pull/2069;Add Gazebo simulation to NPS;TRUE;NO;;;;;
121;paparazzi/paparazzi;2120;https://github.com/paparazzi/paparazzi/pull/2120;sim updates to gazebo so simulate pressure and acceleration;TRUE;YES;YES;;Simulators_Limited Functionality;Resources_Evolve simulator;
121;paparazzi/paparazzi;2120;https://github.com/paparazzi/paparazzi/pull/2120;sim updates to gazebo so simulate pressure and acceleration;TRUE;YES;YES;;Simulators_Functional Correctness;Resources_Change simulator settings;
122;paparazzi/paparazzi;2135;https://github.com/paparazzi/paparazzi/pull/2135;nps load aircraft into gazebo at run time actuator handling;TRUE;YES;YES;;Simulators_Limited Functionality;Resources_Evolve simulator;
123;paparazzi/paparazzi;2128;https://github.com/paparazzi/paparazzi/pull/2128;Fix incorrect in flight acceleration measurements in Gazebo;TRUE;YES;YES;;Simulators_Functional Correctness;Resources_Evolve simulator;
124;paparazzi/paparazzi;2172;https://github.com/paparazzi/paparazzi/pull/2172;Set Gazebo world in flight plan;TRUE;YES;YES;;Simulators_Limited Functionality;;
124;paparazzi/paparazzi;2172;https://github.com/paparazzi/paparazzi/pull/2172;Set Gazebo world in flight plan;TRUE;YES;YES;;Simulators_Choose among different simulators;;
125;paparazzi/paparazzi;2204;https://github.com/paparazzi/paparazzi/pull/2204;tmtc add pprzlink_proxy tool;TRUE;NO;;;;;
126;paparazzi/paparazzi;2234;https://github.com/paparazzi/paparazzi/pull/2234;parrot wait longer when connecting bebop to wifi router;TRUE;YES;NO;;Flaky Behaviour_Netowork Issues;Flakiness_Timeout;
127;paparazzi/paparazzi;2258;https://github.com/paparazzi/paparazzi/pull/2258;update opencv with multithread build;TRUE;NO;;;;;
128;paparazzi/paparazzi;2279;https://github.com/paparazzi/paparazzi/pull/2279;CV Improve timing stability;TRUE;NO;;;;;
129;paparazzi/paparazzi;2327;https://github.com/paparazzi/paparazzi/pull/2327;Conf cleaning;TRUE;YES;NO;Build Execution_Include unneeded environment;;;Performance_Remove Unneeded environments/scripts/tasks
130;paparazzi/paparazzi;2353;https://github.com/paparazzi/paparazzi/pull/2353;Indicate when HITL is not getting AP data;TRUE;NO;;;;;
131;paparazzi/paparazzi;2368;https://github.com/paparazzi/paparazzi/pull/2368;conf remove conf failing the CI tests;TRUE;YES;NO;Build Execution_Pipeline steps/stages are skipped arbitrarily;;;
132;paparazzi/paparazzi;2399;https://github.com/paparazzi/paparazzi/pull/2399;gazebo add ROS support and sonar sensor;TRUE;NO;;;;;
133;paparazzi/paparazzi;2419;https://github.com/paparazzi/paparazzi/pull/2419;Tawaki board integration;TRUE;NO;;;;;
134;paparazzi/paparazzi;2520;https://github.com/paparazzi/paparazzi/pull/2520;jsbsim support of more recent jsbsim versions;TRUE;NO;;;;;
135;paparazzi/paparazzi;2528;https://github.com/paparazzi/paparazzi/pull/2528;adapt calibration script to python updates;TRUE;NO;;;;;
136;paparazzi/paparazzi;2545;https://github.com/paparazzi/paparazzi/pull/2545;Aircraft generator;TRUE;YES;NO;Build Execution_Independent build jobs are not executed in parallel;;;Build Process Organization_Reorganize build steps order of execution
137;paparazzi/paparazzi;2548;https://github.com/paparazzi/paparazzi/pull/2548;Added try except to be more safe after pprzlink api changes;TRUE;NO;;;;;
138;paparazzi/paparazzi;2617;https://github.com/paparazzi/paparazzi/pull/2617;conf replace ardrone2_opticflow with bebop2 version in test conf;TRUE;NO;;;;;
139;paparazzi/paparazzi;2605;https://github.com/paparazzi/paparazzi/pull/2605;SPI SD Logger updates;TRUE;NO;;;;;
140;paparazzi/paparazzi;2618;https://github.com/paparazzi/paparazzi/pull/2618;computer vision Opticflow multiple cameras;TRUE;NO;;;;;
141;paparazzi/paparazzi;2674;https://github.com/paparazzi/paparazzi/pull/2674;build split subdirs rules;TRUE;YES;NO;Build Dependencies Management_Including unneeded dependencies;;;Performance_Remove Unneeded environments/scripts/tasks
142;paparazzi/paparazzi;2691;https://github.com/paparazzi/paparazzi/pull/2691;Health tools based cleaning;TRUE;NO;;;;;
143;paparazzi/paparazzi;2511;https://github.com/paparazzi/paparazzi/pull/2511;actuators Add UAVCAN actuators for chibios;TRUE;NO;;;;;
144;paparazzi/paparazzi;2704;https://github.com/paparazzi/paparazzi/pull/2704;ins EKF2 fix localization of global waypoints;TRUE;NO;;;;;
145;paparazzi/paparazzi;2710;https://github.com/paparazzi/paparazzi/pull/2710;Fix radio confs;TRUE;NO;;;;;
146;paparazzi/paparazzi;2679;https://github.com/paparazzi/paparazzi/pull/2679;docker make it possible to disable X server access;TRUE;NO;;;;;
147;paparazzi/paparazzi;2738;https://github.com/paparazzi/paparazzi/pull/2738;Added new flight plan to safely learn to pilot a drone in the cyber zoo;TRUE;NO;;;;;
148;paparazzi/paparazzi;2764;https://github.com/paparazzi/paparazzi/pull/2764;FIX simulation mag saturation;TRUE;YES;YES;;Simulators_Functional Correctness;Resources_Change simulator settings;
149;paparazzi/paparazzi;2759;https://github.com/paparazzi/paparazzi/pull/2759;Fix MPU6000 spikes in certain chipbatches;TRUE;YES;YES;;Simulators_Functional Correctness;Resources_Evolve simulator;
149;paparazzi/paparazzi;2759;https://github.com/paparazzi/paparazzi/pull/2759;Fix MPU6000 spikes in certain chipbatches;TRUE;YES;YES;;Simulators_Limited Functionality;Resources_Evolve simulator;
150;paparazzi/paparazzi;2665;https://github.com/paparazzi/paparazzi/pull/2665;Fix python comparison;TRUE;NO;;;;;
151;paparazzi/paparazzi;2695;https://github.com/paparazzi/paparazzi/pull/2695;cleaning drop support of LPC21 boards and related conf;TRUE;NO;;;;;
152;paparazzi/paparazzi;2645;https://github.com/paparazzi/paparazzi/pull/2645;Update key generator;TRUE;NO;;;;;
153;paparazzi/paparazzi;2623;https://github.com/paparazzi/paparazzi/pull/2623;fix log plotter not crashing with ubuntu 20 4 in debug mode;TRUE;NO;;;;;
154;paparazzi/paparazzi;2529;https://github.com/paparazzi/paparazzi/pull/2529;PMW3901MB optic flow sensor driver;FALSE;NO;;;;;
155;paparazzi/paparazzi;2482;https://github.com/paparazzi/paparazzi/pull/2482;Refresh WMM data for 2020 to 2025;FALSE;NO;;;;;
156;paparazzi/paparazzi;1182;https://github.com/paparazzi/paparazzi/pull/1182;bebop Sonar;FALSE;YES;YES;;Simulators_Limited Functionality;Resources_Evolve simulator;
157;paparazzi/paparazzi;1932;https://github.com/paparazzi/paparazzi/pull/1932;slam_dunk communication;FALSE;NO;;;;;
158;paparazzi/paparazzi;1185;https://github.com/paparazzi/paparazzi/pull/1185;can start support of CAN for STM32F4;FALSE;NO;;;;;
159;paparazzi/paparazzi;1780;https://github.com/paparazzi/paparazzi/pull/1780;bebop updated sonar driver to improve accuracy and range;FALSE;NO;;;;;
160;paparazzi/paparazzi;1360;https://github.com/paparazzi/paparazzi/pull/1360;HITL initial commit;FALSE;YES;YES;;Simulators_Limited Functionality;Resources_Evolve simulator;
161;paparazzi/paparazzi;1612;https://github.com/paparazzi/paparazzi/pull/1612;flight plans add call_once and run aliases;FALSE;NO;;;;;
162;paparazzi/paparazzi;1587;https://github.com/paparazzi/paparazzi/pull/1587;PX4 motor random spin up issues;FALSE;YES;YES;;Simulators_Functional Correctness;Resources_Change simulator settings;
163;paparazzi/paparazzi;1453;https://github.com/paparazzi/paparazzi/pull/1453;Increase buffer size so larger messages can be sent;FALSE;NO;;;;;
