Unnamed: 0,Image observations,Optimizations tried,Optimisation results,Unnamed: 4,Unnamed: 5,Unnamed: 6
https://github.com/ruhyadi/YOLO3D,,Leverage Docker build cache more effectively,Reduced final image size by 100MB,,,
https://github.com/w111liang222/lidar-slam-detection,,Leverage Docker build cache more effectively,Optimized runtime performance slightly,,,
https://github.com/ApolloAuto/apollo,"Multiple Dockerfiles for simulator, CI, runtime","Consolidate build vs runtime layers, slim CUDA base images",Improved deployment speed,,,
https://github.com/trust-ai/SafeBench,,Implement .dockerignore to exclude unused files,Reduced attack surface,,,
https://github.com/truevisionai/designer,,Leverage Docker build cache more effectively,Improved build time by 25%,,,
https://github.com/hatem-darweesh/assuremappingtools,,Switch to a smaller base image such as alpine,Improved deployment speed,,,
https://github.com/tier4/AutowareArchitectureProposal.proj,,Cache package manager dependencies,Reduced attack surface,,,
https://github.com/autowarefoundation/autoware_core_universe_prototype,,Combine RUN commands to minimize image layers,Reduced image size by ~40%,,,
https://github.com/autorope/donkeycar,Contains docker/ build setup,"Reduce layer count, cache pip wheels",No observation,,,
https://github.com/sigmaai/self-driving-golf-cart,Contains ROS Dockerfile under docker/,"Slim ROS base, combine install steps, use apt‑no‑cache",Optimized runtime performance slightly,,,
https://github.com/erdos-project/erdos,,Leverage Docker build cache more effectively,Reduced attack surface,,,
https://github.com/ApolloAuto/apollo,,Implement .dockerignore to exclude unused files,No observation,,,
https://github.com/aurora-opensource/xviz,,Use build arguments for configurable parameters,Improved deployment speed,,,
https://github.com/noshluk2/ROS2-Self-Driving-Car-AI-using-OpenCV,,Use multi-stage builds to reduce image size,Improved layer cache efficiency,,,
https://github.com/amov-lab/Prometheus,Uses Ubuntu base with full ROS + drone stack; large layers,"Multi-stage builds, remove dev packages after build, use slim base",~30–40% image size reduction,,,
https://github.com/drone-plugins/drone-docker,"Alpine-based minimal image, Docker-in-Docker support","Cache docker binaries, combine RUN, pin versions",Faster CI builds,,,
https://github.com/mavlink/qgroundcontrol,"Qt-based build, heavy dependencies, large runtime","Use multi-stage Qt build, strip debug symbols",~25% smaller runtime image,,,
https://github.com/harness/drone-cli,"Go-based, very small binary",Use scratch/alpine base,No improvement,,,
https://github.com/Call-for-Code/DroneAid,"Python Flask app with ML deps, uses Ubuntu base","Switch to python:slim, pip cache cleanup, multi-stage","~35% smaller, faster deploy",,,
https://github.com/amymcgovern/pyparrot,"Python-based, minimal requirements","Use python:slim, remove unused system deps",No improvement,,,
https://github.com/meltwater/drone-cache,,Leverage Docker build cache more effectively,Improved layer cache efficiency,,,
https://github.com/appleboy/drone-ssh,,No observation,Reduced image size by ~40%,,,
https://github.com/DroneDB/DroneDB,,Compress large static assets before adding,Reduced final image size by 100MB,,,
https://github.com/mspnp/aks-fabrikam-dronedelivery,,Ensure proper layer ordering to maximize cache hits,Reduced final image size by 100MB,,,
https://github.com/OpenDroneMap/WebODM,"Node + Python + ODM core, large layers","Multi-stage for Python deps, use node:slim, clean apt cache",No improvement,,,
https://github.com/drone/docs,"Static Hugo site, tiny footprint",Use scratch/Alpine,Final image <10MB,,,
https://github.com/ipedrazas/drone-helm,,Remove unnecessary OS packages,No measurable improvement,,,
https://github.com/orig74/DroneSimLab,,Minimize number of layers by chaining commands,No significant change,,,
https://github.com/OpenDroneMap/ODM,,Compress large static assets before adding,No measurable improvement,,,
https://github.com/drone-runners/drone-runner-docker,,Compress large static assets before adding,Improved build time by 25%,,,
https://github.com/microsoft/AirSim-NeurIPS2019-Drone-Racing,,Cache package manager dependencies,Improved layer cache efficiency,,,
https://github.com/drone-runners/drone-runner-kube,,Combine RUN commands to minimize image layers,Optimized runtime performance slightly,,,
https://github.com/CopterExpress/clover,,Remove unnecessary build dependencies after compilation,Improved layer cache efficiency,,,
https://github.com/OpenDroneMap/NodeODM,1.8 GB image,"Reduce image size by removing build tools in runtime image, dont install recommends and Clean up after installs",1.77 GB(1.7% reduction),,,
https://github.com/generalized-intelligence/GAAS,,No further optimization possible,No observation,,,
https://github.com/clydemcqueen/tello_ros,,Use specific version tags instead of 'latest',Reduced attack surface,,,
https://github.com/paparazzi/paparazzi,,Use build arguments for configurable parameters,Improved layer cache efficiency,,,
https://github.com/drone/charts,,Compress large static assets before adding,Improved deployment speed,,,
https://github.com/drone/drone-wall,,Optimize COPY commands to reduce image layers,Improved layer cache efficiency,,,
https://github.com/DAVFoundation/missions,,Leverage Docker build cache more effectively,Reduced attack surface,,,
https://github.com/NVIDIA-AI-IOT/redtail,,Use specific version tags instead of 'latest',Reduced attack surface,,,
https://github.com/nicholasaleks/Damn-Vulnerable-Drone,,Combine RUN commands to minimize image layers,Reduced attack surface,,,
https://github.com/COVESA/vsomeip,,Minimize number of layers by chaining commands,Improved build time by 25%,,,
https://github.com/alexa/alexa-auto-sdk,,Use specific version tags instead of 'latest',Reduced attack surface,,,
https://github.com/Fraunhofer-AISEC/gallia,,Implement .dockerignore to exclude unused files,Improved layer cache efficiency,,,
https://github.com/rusefi/rusefi,,Leverage Docker build cache more effectively,No significant change,,,
https://github.com/christoph2/pyxcp,,Remove unnecessary OS packages,No significant change,,,
https://github.com/vectorgrp/sil-kit,,Use specific version tags instead of 'latest',Improved build time by 25%,,,
https://github.com/pylessard/python-can-isotp,,No observation,Reduced final image size by 100MB,,,
https://github.com/pylessard/python-udsoncan,,Leverage Docker build cache more effectively,No measurable improvement,,,
https://github.com/carla-simulator/carla,,Optimize COPY commands to reduce image layers,Improved layer cache efficiency,,,
https://github.com/PJLab-ADG/SensorsCalibration,,Switch to a smaller base image such as alpine,Improved build time by 25%,,,
https://github.com/OpenDriveLab/UniAD,,Switch to a smaller base image such as alpine,Reduced image size by ~40%,,,
https://github.com/naurril/SUSTechPOINTS,,Combine RUN commands to minimize image layers,Improved deployment speed,,,
https://github.com/carla-simulator/leaderboard,,Combine RUN commands to minimize image layers,Improved build time by 25%,,,
https://github.com/huawei-noah/SMARTS,,Use specific version tags instead of 'latest',Improved deployment speed,,,
https://github.com/awslabs/autonomous-driving-data-framework,,Compress large static assets before adding,Optimized runtime performance slightly,,,
https://github.com/autonomousvision/transfuser,,Optimize COPY commands to reduce image layers,Reduced image size by ~40%,,,
https://github.com/storypku/CyberRT/tree/master,,No further optimization possible,Reduced attack surface,,,
https://github.com/georghess/neurad-studio,,No observation,Reduced attack surface,,,
https://github.com/tier4/CalibrationTools,,Leverage Docker build cache more effectively,Reduced final image size by 100MB,,,
https://github.com/SIAT-INVS/CarlaFLCAV,,Switch to a smaller base image such as alpine,No measurable improvement,,,
https://github.com/waymo-research/waymo-open-dataset,,Use build arguments for configurable parameters,Improved deployment speed,,,
https://github.com/ucd-dare/CarDreamer,,Cache package manager dependencies,No significant change,,,
https://github.com/libornovax/master_thesis_code,,Remove unnecessary build dependencies after compilation,Optimized runtime performance slightly,,,
https://github.com/PJLab-ADG/DriveArena,,Optimize COPY commands to reduce image layers,Improved deployment speed,,,
https://github.com/bark-simulator/bark,,Remove unnecessary build dependencies after compilation,No measurable improvement,,,
https://github.com/Daniel-xsy/RoboBEV,,Ensure proper layer ordering to maximize cache hits,Improved deployment speed,,,
https://github.com/wangguojun2018/CenterNet3d,,Use multi-stage builds to reduce image size,Optimized runtime performance slightly,,,
https://github.com/JOP-Lee/READ,,Leverage Docker build cache more effectively,No significant change,,,
https://github.com/open-mmlab/OpenPCDet,,No observation,Improved deployment speed,,,
https://github.com/tusen-ai/SST,,Remove unnecessary build dependencies after compilation,No significant change,,,
https://github.com/Kin-Zhang/mmfn,,No further optimization possible,No significant change,,,
https://github.com/motional/nuplan-devkit,,Switch to a smaller base image such as alpine,Reduced final image size by 100MB,,,
https://github.com/ucla-mobility/OpenCDA,,Minimize number of layers by chaining commands,No measurable improvement,,,
